state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,8,12.0,12.0,Certified,12.446927,8.551592,60.2,2020-10-27 00:00,54.5,2020-09-14 00:00,51.0,2020-07-04 00:00,46.4,2020-09-15 00:00,,,,,46.4,42.4,28.0,21.6,14.7,10.3,4.8,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,2022,88101,1,33.63003,-117.67593,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,122,99.0,Y,121,122,0,3,2.0,2.0,Certified,9.283607,6.827501,44.8,2020-09-15 00:00,38.2,2020-09-12 00:00,35.0,2020-10-03 00:00,34.2,2020-10-27 00:00,,,,,38.2,35.0,16.3,14.0,10.8,8.1,3.2,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,2.0,2.0,Certified,12.895,13.371642,102.7,2020-09-12 00:00,36.0,2020-10-06 00:00,25.3,2020-11-23 00:00,22.1,2020-09-18 00:00,,,,,102.7,36.0,25.3,19.6,15.4,10.9,3.6,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,3.0,3.0,Certified,13.568852,13.124348,78.2,2020-07-05 00:00,53.1,2020-09-15 00:00,50.3,2020-10-27 00:00,33.0,2020-09-09 00:00,,,,,78.2,53.1,33.0,22.8,16.2,10.3,3.7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,364,99.0,Y,364,366,0,2,19.0,19.0,Certified,14.747527,10.333314,67.5,2020-07-04 00:00,64.4,2020-09-15 00:00,63.0,2020-07-05 00:00,59.3,2020-09-14 00:00,,,,,59.3,43.2,35.8,27.3,19.4,11.9,5.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,4.0,4.0,Certified,12.496694,9.203468,66.0,2020-09-15 00:00,48.3,2020-10-27 00:00,45.7,2020-09-12 00:00,38.3,2020-07-05 00:00,,,,,48.3,45.7,26.1,21.1,14.7,10.3,4.3,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4004,88101,1,33.79236,-118.17533,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,8,10.0,10.0,Certified,12.139106,8.433515,63.7,2020-09-15 00:00,59.3,2020-09-14 00:00,49.8,2020-10-27 00:00,49.5,2020-09-12 00:00,,,,,49.5,39.0,26.9,21.4,14.7,10.4,4.5,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4008,88101,1,33.859662,-118.200707,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,361,99.0,Y,361,366,0,5,12.0,12.0,Certified,13.804709,9.048972,65.7,2020-09-15 00:00,60.8,2020-09-14 00:00,48.7,2020-09-12 00:00,47.6,2020-09-13 00:00,,,,,47.6,41.7,31.2,24.3,17.1,11.5,5.5,Long Beach-Route 710 Near Road,5895 Long Beach Blvd.,California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,357,99.0,Y,363,366,0,3,6.0,6.0,Certified,13.117647,11.764066,175.0,2020-07-05 00:00,90.2,2020-07-04 00:00,47.3,2020-01-26 00:00,42.5,2020-10-05 00:00,,,,,42.5,34.6,26.0,21.1,16.2,10.8,4.6,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Included,363,99.0,Y,363,366,6,3,12.0,12.0,Certified,13.728375,12.619326,175.0,2020-07-05 00:00,90.2,2020-07-04 00:00,56.9,2020-09-14 00:00,56.7,2020-09-15 00:00,,,,,56.7,47.1,27.7,22.2,16.5,10.9,5.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
