year,arithmetic_mean
2014,9.27678061764706
2015,8.568932529411764
2016,8.685841205882353
2017,9.199431931818182
2018,9.709693098591549
2019,7.91642074074074
2020,7.82595888888889
2021,9.276975407407408
2022,8.275597814814816
