state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
34,003,0003,88101,1,40.852256,-73.973314,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,116,95.0,Y,116,122,0,5,0.0,0.0,Certified,8.634483,4.618999,28.4,2014-02-01 00:00,26.6,2014-02-19 00:00,26.0,2014-01-05 00:00,17.7,2014-02-10 00:00,,,,,26.6,26.0,17.4,14.4,10.7,7.7,4.1,Fort Lee Library,320 Main Street,New Jersey,Bergen,Fort Lee,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,013,0003,88101,1,40.720989,-74.192892,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,3,2.0,2.0,Certified,9.175424,6.090204,41.4,2014-02-19 00:00,40.2,2014-01-05 00:00,29.7,2014-02-01 00:00,20.9,2014-03-12 00:00,,,,,40.2,29.7,19.2,14.8,10.6,7.6,3.9,Newark Firehouse,360 Clinton Avenue,New Jersey,Essex,Newark,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,1003,88101,1,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,9,0.0,0.0,Certified,9.2,4.765855,32.8,2014-02-02 00:00,32.0,2014-02-15 00:00,31.0,2014-02-19 00:00,30.0,2014-04-07 00:00,,,,,30.0,21.2,16.8,14.6,11.2,8.6,4.6,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,1003,88101,2,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,52,85.0,Y,52,61,0,6,0.0,0.0,Certified,9.284615,5.435698,33.2,2014-01-05 00:00,22.2,2014-03-12 00:00,20.1,2014-02-10 00:00,18.9,2014-01-17 00:00,,,,,33.2,22.2,20.1,15.8,11.3,8.1,4.4,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,2002,88101,1,40.772793,-74.031718,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,116,95.0,Y,116,122,0,4,1.0,1.0,Certified,10.485345,5.354661,35.5,2014-02-19 00:00,30.3,2014-01-05 00:00,24.1,2014-02-01 00:00,22.4,2014-03-12 00:00,,,,,30.3,24.1,19.8,16.5,13.3,9.7,5.2,Union City,"Health Department, 714 31st Street",New Jersey,Hudson,Union City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,023,0006,88101,1,40.472825,-74.422403,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,114,93.0,Y,114,122,0,3,0.0,0.0,Certified,8.091228,4.41505,32.5,2014-01-05 00:00,22.5,2014-02-01 00:00,20.0,2014-02-10 00:00,17.7,2014-02-07 00:00,,,,,22.5,20.0,15.8,13.4,9.8,7.1,4.1,New Brunswick,"Cook College, Log Cabin Road near Horticulture Lab",New Jersey,Middlesex,North Brunswick Township,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,027,3001,88101,1,40.787628,-74.676301,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,112,92.0,Y,112,122,0,2,0.0,0.0,Certified,6.983929,3.942505,19.6,2014-02-28 00:00,17.3,2014-02-19 00:00,17.1,2014-02-01 00:00,16.7,2014-03-12 00:00,,,,,17.3,17.1,14.1,12.3,9.2,6.3,2.5,Chester,"Department of Public Works Bldg. #1, 50 North Road",New Jersey,Morris,Chester,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,027,0004,88101,1,40.801211,-74.483433,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,0.0,0.0,Certified,9.846281,5.46588,32.4,2014-02-19 00:00,27.7,2014-01-05 00:00,25.2,2014-02-01 00:00,23.0,2014-06-01 00:00,,,,,27.7,25.2,19.9,16.9,12.7,8.2,3.5,Morristown Amb Squad,16 Early Street,New Jersey,Morris,Morristown,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,031,0005,88101,1,40.918381,-74.168092,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,1,0.0,0.0,Certified,8.878992,5.25231,33.5,2014-01-05 00:00,29.2,2014-02-01 00:00,26.3,2014-02-19 00:00,19.6,2014-05-08 00:00,,,,,29.2,26.3,18.9,15.2,11.0,7.7,3.7,Paterson,"Paterson Board of Health, 176 Broadway",New Jersey,Passaic,Paterson,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,029,2002,88101,1,39.994908,-74.170447,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,21,0.0,0.0,Certified,7.656716,3.511564,21.0,2014-01-10 00:00,20.4,2014-02-07 00:00,19.5,2014-02-01 00:00,18.6,2014-06-17 00:00,,,,,18.6,18.1,15.6,11.9,9.4,7.0,3.9,Toms River,"Hooper Avenue Elementary School, 1517 Hooper Avenue",New Jersey,Ocean,Toms River,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
