state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
34,013,0003,88101,1,40.720989,-74.192892,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,85,70.0,N,85,122,0,2,0.0,0.0,Requested but denied,7.421176,3.447742,18.0,2022-02-22 00:00,16.3,2022-07-04 00:00,15.3,2022-02-01 00:00,14.9,2022-01-23 00:00,,,,,18.0,16.3,14.0,13.0,9.3,6.7,4.0,Newark Firehouse,360 Clinton Avenue,New Jersey,Essex,Newark,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,017,1003,88101,1,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,323,88.0,Y,323,365,0,6,0.0,0.0,Certified,7.536533,3.919718,28.6,2022-01-25 00:00,26.3,2022-01-28 00:00,25.0,2022-12-30 00:00,24.3,2022-01-13 00:00,,,,,24.3,18.5,14.5,12.0,9.1,6.8,3.6,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,017,1003,88101,2,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,0,0.0,0.0,Certified,7.485,3.425717,16.5,2022-12-31 00:00,15.8,2022-03-18 00:00,15.7,2022-02-22 00:00,14.9,2022-03-06 00:00,,,,,16.5,15.8,15.7,13.4,9.3,6.9,4.1,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,023,0011,88101,1,40.462182,-74.429439,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,0,0.0,0.0,Certified,6.195041,2.830131,15.0,2022-01-23 00:00,13.8,2022-02-07 00:00,12.7,2022-02-01 00:00,12.4,2022-12-28 00:00,,,,,13.8,12.7,11.2,10.0,8.1,5.5,3.1,Rutgers University,"Vegetable Farm 3, 67 Ryders Lane",New Jersey,Middlesex,East Brunswick (Township of),35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,027,3001,88101,1,40.787628,-74.676301,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,109,89.0,Y,109,122,0,1,0.0,0.0,Certified,5.1,2.743038,12.8,2022-02-22 00:00,12.0,2022-01-23 00:00,11.3,2022-03-06 00:00,11.3,2022-07-01 00:00,,,,,12.0,11.3,10.8,9.8,6.4,4.6,2.0,Chester,"Department of Public Works Bldg. #1, 50 North Road",New Jersey,Morris,Chester,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,039,0004,88101,1,40.64144,-74.208365,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,9,0.0,0.0,Certified,8.731884,4.20761,24.9,2022-12-30 00:00,24.7,2022-01-28 00:00,23.7,2022-04-13 00:00,21.7,2022-01-13 00:00,,,,,21.7,20.8,16.8,14.8,10.7,7.5,4.3,Elizabeth Lab,NJ Turnpike Interchange 13 Toll Plaza,New Jersey,Union,Elizabeth,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
34,039,0004,88101,2,40.64144,-74.208365,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,56,92.0,Y,56,61,0,0,0.0,0.0,Certified,9.169643,3.895401,19.2,2022-02-22 00:00,18.6,2022-02-16 00:00,17.7,2022-01-23 00:00,17.6,2022-12-31 00:00,,,,,19.2,18.6,17.7,14.5,12.3,8.2,5.0,Elizabeth Lab,NJ Turnpike Interchange 13 Toll Plaza,New Jersey,Union,Elizabeth,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
36,103,0002,88101,1,40.74529,-73.41919,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,1,0.0,0.0,Certified,5.995902,2.783315,14.0,2022-01-23 00:00,12.2,2022-07-25 00:00,12.2,2022-12-28 00:00,12.1,2022-08-09 00:00,,,,,12.2,12.2,11.4,10.2,7.6,5.6,2.7,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
36,005,0110,88101,1,40.816,-73.902,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,106,87.0,N,106,122,0,16,0.0,0.0,Certified,6.590566,2.945263,13.4,2022-07-01 00:00,13.3,2022-12-28 00:00,12.8,2022-07-25 00:00,12.5,2022-02-22 00:00,,,,,13.3,12.8,12.4,10.9,8.4,6.0,3.0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
36,005,0133,88101,1,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,0.0,0.0,Certified,6.905738,3.624829,23.3,2022-12-31 00:00,18.6,2022-07-04 00:00,14.6,2022-11-04 00:00,14.4,2022-07-16 00:00,,,,,18.6,14.6,13.8,11.5,9.0,6.2,3.1,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17
