year,arithmetic_mean
2014,8.731269605504588
2015,8.986844317180617
2016,8.000171658088234
2017,7.804965731060606
2018,7.95495523
2019,7.727068961130741
2020,7.466118138059701
2021,8.16482862601626
2022,7.193981238636364
